"id","course_name","category","enrolled_students","platform","price","rating","duration"
1,"Introduction to Python","Programming",1200,"Coursera","49.99","4.50","6 weeks"
2,"Data Science Bootcamp","Data Science",800,"Udemy","99.99","4.70","10 weeks"
3,"Digital Marketing Masterclass","Marketing",950,"edX","79.99","4.30","8 weeks"
4,"Web Development with JavaScript","Web Development",1500,"Udacity","59.99","4.60","12 weeks"
5,"Machine Learning A-Z","Artificial Intelligence",1100,"Coursera","89.99","4.80","9 weeks"
6,"Graphic Design for Beginners","Design",700,"Skillshare","39.99","4.20","5 weeks"
7,"Advanced Excel for Business","Business",850,"LinkedIn Learning","69.99","4.40","7 weeks"
8,"Cybersecurity Fundamentals","IT & Software",600,"Pluralsight","49.99","4.10","6 weeks"
9,"Blockchain Basics","Finance",400,"Coursera","59.99","4.50","4 weeks"
10,"Photography Essentials","Photography",500,"Udemy","29.99","4.30","5 weeks"
11,"Introduction to SQL","Databases",900,"Coursera","39.99","4.60","4 weeks"
12,"Artificial Intelligence for Everyone","Artificial Intelligence",1000,"edX","79.99","4.70","8 weeks"
13,"Public Speaking Mastery","Personal Development",750,"Udemy","49.99","4.40","6 weeks"
14,"Nutrition and Wellness","Health & Fitness",500,"Coursera","29.99","4.30","5 weeks"
15,"Project Management Professional (PMP)","Business",800,"LinkedIn Learning","99.99","4.50","10 weeks"
16,"Fundamentals of Accounting","Finance",600,"edX","69.99","4.20","7 weeks"
17,"Yoga for Beginners","Health & Fitness",300,"Skillshare","19.99","4.10","4 weeks"
18,"Ethical Hacking","IT & Software",900,"Udacity","89.99","4.60","8 weeks"
19,"Creative Writing Specialization","Writing",450,"Coursera","49.99","4.50","6 weeks"
20,"Introduction to Statistics","Mathematics",700,"edX","59.99","4.40","6 weeks"
21,"Big Data Fundamentals","Data Science",600,"Pluralsight","79.99","4.30","7 weeks"
22,"Introduction to Robotics","Engineering",500,"Udacity","99.99","4.40","10 weeks"
23,"HTML and CSS for Beginners","Web Development",1200,"Coursera","29.99","4.50","4 weeks"
24,"Artificial Neural Networks","Artificial Intelligence",450,"edX","69.99","4.60","8 weeks"
25,"Introduction to Cloud Computing","IT & Software",700,"LinkedIn Learning","59.99","4.20","6 weeks"
26,"Creative Writing for All","Writing",300,"Skillshare","19.99","4.10","5 weeks"
27,"Basics of Graphic Design","Design",800,"Udemy","49.99","4.40","6 weeks"
28,"Digital Photography","Photography",350,"Coursera","29.99","4.30","5 weeks"
29,"Introduction to Data Structures","Programming",900,"edX","39.99","4.50","6 weeks"
30,"Mobile App Development with Flutter","Web Development",700,"Udacity","89.99","4.60","8 weeks"
31,"Financial Markets and Investment Strategy","Finance",500,"Coursera","69.99","4.70","9 weeks"
32,"Python for Data Science","Data Science",1000,"Pluralsight","59.99","4.40","7 weeks"
33,"Content Marketing Strategy","Marketing",600,"Udemy","49.99","4.50","6 weeks"
34,"Human Resource Management","Business",700,"LinkedIn Learning","79.99","4.30","8 weeks"
35,"Ethics in Artificial Intelligence","Artificial Intelligence",400,"edX","59.99","4.20","6 weeks"
36,"Introduction to Cryptocurrency","Finance",350,"Coursera","49.99","4.10","5 weeks"
37,"Lean Six Sigma Green Belt","Business",600,"Udemy","99.99","4.40","10 weeks"
38,"Java Programming Masterclass","Programming",900,"Coursera","79.99","4.70","8 weeks"
39,"Modern React with Redux","Web Development",800,"Udemy","69.99","4.60","7 weeks"
40,"SEO for Beginners","Marketing",300,"LinkedIn Learning","29.99","4.20","4 weeks"
41,"Intermediate Excel Skills","Business",500,"Coursera","49.99","4.50","5 weeks"
42,"The Science of Well-Being","Health & Fitness",600,"edX","29.99","4.60","6 weeks"
43,"Introduction to Linux","IT & Software",400,"Udemy","39.99","4.30","5 weeks"
44,"Agile Project Management","Business",700,"LinkedIn Learning","79.99","4.40","8 weeks"
45,"Statistics for Data Science","Data Science",800,"Coursera","69.99","4.50","7 weeks"
46,"Introduction to Graphic Design","Design",450,"Skillshare","29.99","4.20","5 weeks"
47,"Public Relations Masterclass","Marketing",300,"Udemy","39.99","4.10","5 weeks"
48,"Principles of Microeconomics","Economics",500,"Coursera","49.99","4.40","6 weeks"
49,"Introduction to Cyber Security","IT & Software",600,"edX","59.99","4.50","6 weeks"
50,"Android App Development","Programming",900,"Udacity","89.99","4.60","8 weeks"
51,"Social Media Marketing","Marketing",400,"LinkedIn Learning","29.99","4.20","5 weeks"
52,"Foundations of UX Design","Design",450,"Coursera","49.99","4.30","6 weeks"
53,"Advanced Python Programming","Programming",750,"Udemy","69.99","4.70","7 weeks"
54,"Machine Learning with TensorFlow","Artificial Intelligence",550,"Coursera","89.99","4.80","8 weeks"
55,"Digital Painting for Beginners","Design",300,"Skillshare","29.99","4.10","5 weeks"
56,"Advanced Photoshop Techniques","Design",400,"Udemy","59.99","4.40","6 weeks"
57,"Financial Accounting Fundamentals","Finance",500,"Coursera","49.99","4.50","6 weeks"
58,"3D Animation for Beginners","Design",350,"Skillshare","39.99","4.20","5 weeks"
59,"Supply Chain Management","Business",600,"LinkedIn Learning","79.99","4.30","8 weeks"
60,"Principles of Economics","Economics",450,"Coursera","49.99","4.40","6 weeks"
61,"Digital Marketing Analytics","Marketing",500,"edX","69.99","4.50","7 weeks"
62,"Advanced Data Structures","Programming",750,"Udacity","89.99","4.60","8 weeks"
63,"Introduction to Quantum Computing","Computer Science",300,"Coursera","79.99","4.10","6 weeks"
64,"Principles of Machine Learning","Artificial Intelligence",600,"edX","99.99","4.70","9 weeks"
65,"Photography Composition","Photography",350,"Skillshare","39.99","4.30","5 weeks"
66,"Introduction to Deep Learning","Artificial Intelligence",700,"Coursera","89.99","4.60","8 weeks"
67,"Marketing Analytics","Marketing",400,"LinkedIn Learning","59.99","4.40","6 weeks"
68,"Introduction to Sociology","Social Sciences",500,"edX","29.99","4.20","5 weeks"
69,"Advanced JavaScript","Programming",800,"Udemy","79.99","4.60","8 weeks"
70,"Introduction to Philosophy","Humanities",300,"Coursera","19.99","4.10","4 weeks"
71,"Database Management Systems","Databases",450,"Udacity","49.99","4.50","6 weeks"
72,"Data Visualization with Python","Data Science",600,"edX","69.99","4.40","7 weeks"
73,"Introduction to Cryptography","Computer Science",400,"Coursera","59.99","4.30","6 weeks"
74,"Game Development with Unity","Programming",800,"Udemy","79.99","4.60","8 weeks"
75,"Business Analytics","Business",700,"LinkedIn Learning","69.99","4.50","7 weeks"
76,"Introduction to Anthropology","Social Sciences",300,"Skillshare","19.99","4.20","5 weeks"
77,"Python for Web Development","Programming",500,"Coursera","49.99","4.30","6 weeks"
78,"Cloud Architecture","IT & Software",600,"edX","99.99","4.50","8 weeks"
79,"Marketing Strategies for Startups","Marketing",450,"Udemy","39.99","4.40","5 weeks"
80,"Behavioral Economics","Economics",500,"LinkedIn Learning","59.99","4.20","6 weeks"
81,"Intermediate SQL","Databases",700,"Coursera","29.99","4.50","5 weeks"
82,"Introduction to Journalism","Writing",400,"edX","19.99","4.10","4 weeks"
83,"Machine Learning for Business","Artificial Intelligence",600,"Udacity","99.99","4.70","8 weeks"
84,"Nutrition Science","Health & Fitness",350,"Skillshare","29.99","4.20","5 weeks"
85,"Introduction to Arduino","Engineering",400,"Coursera","49.99","4.30","6 weeks"
86,"Leadership Skills for Managers","Business",500,"LinkedIn Learning","69.99","4.50","7 weeks"
87,"Introduction to Data Analytics","Data Science",600,"Udemy","59.99","4.40","7 weeks"
88,"Creative Writing for Beginners","Writing",300,"Skillshare","19.99","4.20","5 weeks"
89,"Intermediate Java Programming","Programming",700,"Coursera","69.99","4.60","7 weeks"
90,"Modern Web Design","Design",450,"edX","39.99","4.30","6 weeks"
